1,Villanova,Big East,1.00,150,&nbsp;,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Villanova
1,Kansas,Big 12,1.03,150,&nbsp;,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Kansas
1,Gonzaga,West Coast,1.07,150,&nbsp;,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,Gonzaga
1,North Carolina,ACC,1.41,150,&nbsp;,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,1,2,1,1,1,1,2,1,2,2,North Carolina
2,Duke,ACC,1.73,150,&nbsp;,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,1,Duke
2,Kentucky,SEC,1.89,150,&nbsp;,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,Kentucky
2,Arizona,Pacific-12,1.95,150,&nbsp;,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,Arizona
2,Louisville,ACC,2.85,150,&nbsp;,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,2,3,2,3,3,3,3,3,3,Louisville
3,Oregon,Pacific-12,2.60,150,&nbsp;,2,2,3,2,3,3,2,3,3,3,2,3,2,3,3,2,2,3,3,2,3,3,3,3,2,3,3,2,2,2,Oregon
3,Baylor,Big 12,2.75,150,&nbsp;,3,3,2,3,2,4,3,3,2,2,3,3,3,2,2,3,3,2,2,3,2,3,2,3,3,2,3,3,3,3,Baylor
3,UCLA,Pacific-12,3.09,150,&nbsp;,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,3,3,UCLA
3,Florida State,ACC,3.23,150,&nbsp;,3,4,4,3,4,3,4,3,3,4,3,3,3,3,3,3,3,4,3,4,3,3,4,3,3,3,3,4,3,3,Florida State
4,Florida,SEC,3.87,150,&nbsp;,5,4,3,4,4,3,4,4,4,4,5,4,4,4,4,4,4,3,5,3,4,4,3,4,4,4,4,4,4,4,Florida
4,Butler,Big East,4.05,150,&nbsp;,4,4,4,4,3,4,4,4,4,3,6,4,4,4,4,4,4,5,4,3,4,5,4,4,3,4,4,4,4,4,Butler
4,West Virginia,Big 12,4.15,150,&nbsp;,4,3,5,4,5,5,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,West Virginia
4,Purdue,Big Ten,4.78,150,&nbsp;,4,5,5,5,4,5,5,5,5,5,4,5,6,5,5,5,5,4,4,4,4,5,5,5,4,5,5,5,5,5,Purdue
5,Notre Dame,ACC,4.29,150,&nbsp;,4,5,4,4,6,4,3,4,4,4,4,5,5,4,4,4,4,4,4,6,5,4,5,4,5,4,4,3,4,4,Notre Dame
5,Virginia,ACC,4.93,150,&nbsp;,5,4,5,5,5,4,5,4,5,5,5,4,4,5,5,6,5,5,5,6,5,5,4,5,4,4,5,6,5,5,Virginia
5,Iowa State,Big 12,5.13,150,&nbsp;,6,5,4,5,4,7,5,5,5,5,4,5,4,5,6,5,5,5,5,6,6,6,5,5,5,5,5,5,5,5,Iowa State
5,Minnesota,Big Ten,6.03,150,&nbsp;,6,6,6,6,5,5,7,6,6,6,6,5,6,6,5,6,6,7,6,6,6,7,6,6,5,6,6,7,6,6,Minnesota
6,SMU,American,5.31,150,&nbsp;,5,6,6,5,6,6,5,5,5,5,5,6,5,6,5,5,5,5,5,5,5,4,5,5,6,5,5,5,5,5,SMU
6,Cincinnati,American,5.43,150,&nbsp;,5,5,5,6,5,6,6,6,6,6,6,6,5,5,6,5,6,6,6,5,5,5,6,6,6,6,6,5,6,6,Cincinnati
6,Creighton,Big East,6.57,150,&nbsp;,7,6,7,7,6,7,6,7,7,6,6,7,7,6,7,7,6,7,7,5,7,7,6,6,6,7,7,7,7,7,Creighton
6,Maryland,Big Ten,7.12,150,&nbsp;,7,7,7,7,7,8,7,7,7,7,7,7,8,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Maryland
7,Michigan,Big Ten,6.46,150,&nbsp;,7,7,7,6,7,7,6,6,6,6,7,6,7,6,8,6,7,6,6,7,7,6,6,6,7,6,6,6,6,6,Michigan
7,St. Mary's (CA),West Coast,6.68,150,&nbsp;,6,8,6,7,7,6,7,7,7,8,7,7,6,7,6,7,7,6,7,7,6,6,7,7,7,7,7,6,7,7,St. Mary's (CA)
7,South Carolina,SEC,8.95,150,&nbsp;,9,9,10,9,8,8,8,9,9,11,9,10,10,9,7,9,9,9,10,10,9,9,9,10,8,8,9,9,8,9,South Carolina
7,Dayton,Atlantic 10,8.36,149,&nbsp;,8,8,8,9,8,9,9,8,10,9,8,8,8,9,7,7,9,8,9,10,8,8,7,8,8,7,9,7,8,10,Dayton
8,Wisconsin,Big Ten,6.11,150,&nbsp;,6,6,6,6,7,6,6,6,6,7,5,6,7,7,6,6,6,6,6,5,6,6,7,7,6,6,6,6,6,6,Wisconsin
8,Arkansas,SEC,7.85,150,&nbsp;,9,7,7,8,8,5,9,8,7,9,8,7,6,8,8,9,8,8,8,8,8,7,9,7,7,8,8,8,7,7,Arkansas
8,Miami (FLA.),ACC,7.95,150,&nbsp;,8,8,8,7,8,8,8,8,10,7,7,8,10,7,8,7,8,9,7,10,9,8,8,8,8,8,8,8,8,8,Miami (FLA.)
8,Northwestern,Big Ten,8.83,150,&nbsp;,8,9,9,8,10,9,8,8,9,7,9,9,10,11,8,9,8,8,9,9,8,9,10,10,9,10,8,9,9,8,Northwestern
9,Virginia Tech,ACC,8.43,150,&nbsp;,9,8,8,8,9,7,9,9,9,8,8,9,12,10,9,8,7,9,8,9,9,8,8,9,9,8,8,8,9,9,Virginia Tech
9,Seton Hall,Big East,9.69,150,&nbsp;,10,10,10,11,9,10,9,12,11,8,9,8,12,10,10,10,10,11,9,9,11,10,9,11,8,10,11,10,11,9,Seton Hall
9,Vanderbilt,SEC,10.07,149,&nbsp;,10,10,9,10,11,8,10,10,8,11,11,11,9,9,10,9,10,10,12,11,10,12,11,9,9,10,9,11,8,10,Vanderbilt
9,Michigan State,Big Ten,10.18,149,&nbsp;,10,10,10,10,9,10,10,10,8,11,10,10,11,11,10,10,10,11,10,11,11,11,10,10,10,9,10,10,9,10,Michigan State
10,Wichita State,Missouri Valley,8.31,150,&nbsp;,7,7,10,8,9,10,7,7,8,8,8,8,8,9,9,8,8,7,8,7,7,9,8,9,10,9,7,8,11,8,Wichita State
10,Oklahoma State,Big 12,8.93,150,&nbsp;,8,9,11,9,6,11,8,11,8,10,9,11,9,8,11,8,9,8,8,10,10,8,8,9,10,9,10,9,9,8,Oklahoma State
10,VCU,Atlantic 10,9.03,150,&nbsp;,9,9,8,10,10,9,10,9,10,9,10,9,7,10,10,10,9,9,9,8,8,9,10,8,9,9,10,9,10,11,VCU
10,Marquette,Big East,10.12,148,&nbsp;,11,10,9,9,&nbsp;,11,10,10,12,10,10,9,11,8,9,11,11,11,11,11,10,11,9,10,11,10,9,10,10,10,Marquette
11,Xavier,Big East,10.26,150,&nbsp;,11,11,9,11,10,10,11,9,10,11,10,11,9,8,11,10,10,10,10,9,9,10,10,8,10,12,10,11,10,9,Xavier
11,Wake Forest,ACC,11.01,148,&nbsp;,11,11,11,11,11,11,11,10,11,12,12,11,9,11,12,11,11,10,11,11,11,10,11,11,11,11,11,11,10,11,Wake Forest
11,Providence,Big East,10.94,143,&nbsp;,10,11,11,11,12,11,11,11,11,10,11,10,11,11,11,11,11,12,&nbsp;,12,12,12,12,11,11,11,11,11,12,11,Providence
11,Rhode Island,Atlantic 10,10.80,142,&nbsp;,11,12,11,11,11,11,11,11,9,9,11,10,8,10,11,11,11,10,11,12,11,11,11,11,11,11,11,11,11,12,Rhode Island
11,Kansas State,Big 12,11.40,132,&nbsp;,12,12,12,12,11,12,&nbsp;,11,&nbsp;,11,12,12,11,11,12,&nbsp;,12,11,11,12,12,11,12,11,11,11,12,12,11,11,Kansas State
11,USC,Pacific-12,11.41,127,&nbsp;,&nbsp;,12,12,12,&nbsp;,12,11,12,11,12,&nbsp;,12,12,11,11,11,12,&nbsp;,10,11,11,10,11,11,&nbsp;,&nbsp;,12,&nbsp;,12,11,USC
12,Middle Tennessee,CUSA,11.04,150,&nbsp;,11,11,11,10,10,12,12,11,11,10,11,11,12,12,9,12,11,11,11,8,10,12,11,12,12,12,11,10,11,11,Middle Tennessee
12,Nevada,Mountain West,11.73,150,&nbsp;,12,12,12,12,12,9,12,12,12,12,12,12,10,12,12,12,12,12,12,8,12,11,12,12,12,11,12,12,12,12,Nevada
12,NC-Wilmington,Colonial,11.91,150,&nbsp;,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,NC-Wilmington
12,Princeton,Ivy,12.73,150,&nbsp;,13,13,12,13,13,13,13,13,13,12,12,13,13,12,13,13,13,13,13,13,12,13,12,12,13,12,12,13,13,13,Princeton
13,Vermont,America East,12.38,150,&nbsp;,12,12,13,12,12,12,12,12,13,13,13,12,12,13,13,12,13,12,12,13,13,13,13,13,12,13,13,12,12,12,Vermont
13,E. Tennessee State,Southern,13.05,150,&nbsp;,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,13,13,13,13,13,12,13,13,13,13,13,13,13,13,E. Tennessee State
13,Bucknell,Patriot,13.06,150,&nbsp;,13,13,13,13,13,13,13,13,12,13,13,13,13,13,14,13,12,13,13,14,13,13,13,13,13,13,13,13,13,13,Bucknell
13,Winthrop,Big South,13.55,150,&nbsp;,13,14,14,13,14,13,13,13,13,14,14,14,14,14,13,14,14,14,14,14,13,14,14,14,13,14,14,13,14,13,Winthrop
14,New Mexico State,WAC,13.39,150,&nbsp;,14,13,13,14,14,14,14,14,14,13,13,13,13,13,13,13,14,13,13,12,14,13,13,13,14,13,13,14,13,14,New Mexico State
14,Florida Gulf Coast,Atlantic Sun,13.95,150,&nbsp;,14,14,14,14,15,14,14,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,Florida Gulf Coast
14,Iona,Metro Atlantic,14.01,150,&nbsp;,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,14,14,14,14,14,Iona
14,Kent State,MAC,14.85,150,&nbsp;,15,15,15,15,14,15,14,15,15,15,14,15,15,15,14,15,14,15,15,14,15,15,15,15,15,15,15,15,15,15,Kent State
15,Northern Kentucky,Horizon,14.20,150,&nbsp;,14,15,14,14,14,14,15,14,14,14,15,14,14,14,15,14,15,14,14,13,14,14,14,14,14,14,14,14,14,14,Northern Kentucky
15,North Dakota,Big Sky,15.15,150,&nbsp;,15,15,15,15,16,16,15,15,16,15,15,16,15,15,15,15,16,15,15,15,15,15,15,15,15,15,15,15,15,15,North Dakota
15,Troy,Sun Belt,15.41,150,&nbsp;,15,14,16,15,15,16,16,16,15,15,16,15,16,15,16,16,16,16,16,16,15,15,15,16,16,15,16,16,15,15,Troy
15,Jacksonville State,Ohio Valley,15.64,150,&nbsp;,16,16,15,15,16,16,16,16,16,16,16,16,15,15,15,16,16,16,15,16,16,16,16,15,16,15,16,15,15,16,Jacksonville State
16,Texas Southern,SWAC,15.21,150,&nbsp;,16,15,15,16,16,15,15,15,15,15,15,15,15,16,15,15,15,15,15,15,15,15,16,15,15,16,15,15,16,15,Texas Southern
16,South Dakota State,Summit,15.82,150,&nbsp;,15,16,16,16,15,16,16,16,15,16,16,15,16,16,16,16,15,16,16,16,16,16,15,16,16,16,16,16,16,16,South Dakota State
16,North Carolina Central,Mid-Eastern,15.83,150,&nbsp;,16,16,16,16,15,16,16,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,North Carolina Central
16,UC Davis,Big West,15.89,150,&nbsp;,16,16,16,16,16,15,15,16,16,16,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,UC Davis
16,New Orleans,Southland,15.91,150,&nbsp;,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,16,15,16,16,16,16,16,16,15,16,16,16,New Orleans
16,Mount St. Mary's,Northeast,15.94,150,&nbsp;,16,16,16,16,16,15,16,16,16,16,16,16,16,16,16,15,16,16,16,16,16,16,16,16,15,16,16,16,16,16,Mount St. Mary's
